Row,Activity,Sex,Age,Type,Species,Fatal
1423,Swimming,M,25,Unprovoked,unknown,N
90,Spearfishing,M,43,Unprovoked,white shark,N
731,Surfing,F,13,Unprovoked,tiger shark,N
241,boarding,M,29,Unprovoked,tiger shark,N
121,Surfing,M,20,Unprovoked,bull shark,N
1260,Surfing,M,15,Unprovoked,blacktip shark,N
727,Surfing,F,35,Unprovoked,unknown,N
502,Wading,M,9,Unprovoked,unknown,N
1749,Swimming,M,16,Unprovoked,Other,N
1649,Spearfishing,M,32,Provoked,Other,N
717,Surfing,M,20,Unprovoked,unknown,N
60,Other,M,29,Provoked,unknown,N
450,Other,M,23,Unprovoked,bull shark,N
1743,Other,M,18,Boating,unknown,N
177,Surfing,M,26,Unprovoked,white shark,N
222,Spearfishing,M,42,Unprovoked,Other,N
530,Other,M,20,Provoked,Other,N
370,Surfing,M,32,Unprovoked,Other,N
1379,Scuba diving,M,23,Unprovoked,white shark,N
1559,Spearfishing,M,26,Unprovoked,unknown,N
165,Standing,M,9,Unprovoked,unknown,N
331,Surfing,M,22,Unprovoked,unknown,N
595,Swimming,M,29,Unprovoked,unknown,N
1160,Surfing,M,22,Unprovoked,white shark,N
667,Spearfishing,M,22,Unprovoked,white shark,Y
1590,Surfing,M,22,Unprovoked,Other,Y
296,Spearfishing,M,31,Unprovoked,tiger shark,N
368,Surfing,M,49,Unprovoked,white shark,Y
92,Spearfishing,M,19,Provoked,unknown,N
1540,Fishing,F,21,Unprovoked,tiger shark,N
441,Swimming,M,24,Unprovoked,white shark,Y
175,Other,M,29,Unprovoked,white shark,N
1448,Fishing,M,22,Boat,Other,N
1037,Swimming,M,23,Unprovoked,Other,N
815,Swimming,M,20,Unprovoked,unknown,N
725,Surfing,M,22,Unprovoked,raggedoth shark,N
102,Fishing,M,39,Provoked,Other,N
603,Surfing,M,41,Unprovoked,white shark,N
358,Surfing,M,41,Unprovoked,white shark,N
1014,Swimming,F,16,Unprovoked,wobbegong shark,N
1134,Other,M,36,Provoked,Other,N
352,Surfing,M,51,Unprovoked,white shark,N
1440,Other,M,53,Unprovoked,white shark,N
1836,Swimming,M,23,Unprovoked,white shark,N
822,Snorkeling,M,35,Unprovoked,tiger shark,N
1866,Swimming,M,24,Unprovoked,unknown,Y
