Activity,Sex,Age,Type,Species,Fatal
Swimming,M,29,Unprovoked,unknown,N
Surfing,M,22,Unprovoked,white shark,N
Other,M,18,Unprovoked,unknown,N
Swimming,M,55,Unprovoked,Other,N
Surfing,M,52,Unprovoked,unknown,N
Standing,M,33,Unprovoked,unknown,N
Surfing,M,37,Unprovoked,white shark,N
Other,M,24,Unprovoked,white shark,N
Surfing,M,41,Unprovoked,white shark,N
Other,M,19,Unprovoked,white shark,N
Surfing,M,14,Unprovoked,unknown,N
Standing,M,49,Unprovoked,Other,N
boarding,F,14,Unprovoked,Other,N
Spearfishing,F,28,Unprovoked,Other,N
Spearfishing,M,35,Unprovoked,Other,N
Surfing,F,22,Unprovoked,blacktip shark,N
Surfing,M,24,Unprovoked,unknown,N
Other,F,7,Unprovoked,unknown,N
Surfing,M,40,Unprovoked,white shark,N
Spearfishing,M,26,Unprovoked,tiger shark,N
Spearfishing,M,15,Provoked,Other,N
Snorkeling,M,46,Provoked,wobbegong shark,N
Fishing,M,35,Provoked,bull shark,N
Surfing,M,15,Unprovoked,bronze whaler,N
boarding,M,15,Unprovoked,raggedoth shark,N
Swimming,M,35,Unprovoked,tiger shark,N
Surfing,F,28,Unprovoked,tiger shark,N
Surfing,M,21,Unprovoked,tiger shark,N
Surfing,M,15,Unprovoked,bronze whaler,N
Standing,F,15,Unprovoked,unknown,N
